id,证券代码,证券简称,所属行业名称,无形资产,研发支出合计,研发支出总额占营业收入比例,净利润,研发人员数量,政府补助,资产负债率,总资产,流动比率,营业收入,净利润,销售净利率,流动资产周转率,研发人员数量占比,技术人员人数,新增专利数,新增发明专利数,新增新型专利,新增外观专利
1,000012.SZ,南玻A,材料,1044826287.00 ,440884641.00 ,4.21 ,560419577.00 ,184.00 ,184131420.00 ,47.36 ,-10.12 ,0.81 ,-10.65 ,7.70 ,7.91 ,2.14 ,1.76 ,1435.00 ,106.00 ,25.00 ,81.00 ,0.00 
2,000012.SZ,南玻A,材料,1035731324.00 ,381711070.00 ,3.60 ,472208588.00 ,146.00 ,94835539.00 ,50.56 ,-2.15 ,0.80 ,-2.48 ,-43.01 ,4.45 ,0.84 ,1.35 ,1500.00 ,11.00 ,11.00 ,0.00 ,0.00 
3,000012.SZ,南玻A,材料,1047222407.00 ,368237629.00 ,3.38 ,828636035.00 ,134.00 ,87875417.00 ,55.06 ,13.93 ,0.66 ,21.23 ,3.04 ,7.62 ,0.79 ,1.11 ,1420.00 ,13.00 ,13.00 ,0.00 ,0.00 
4,000012.SZ,南玻A,材料,1032458977.00 ,341553966.00 ,3.81 ,804226524.00 ,134.00 ,91627439.00 ,52.59 ,10.70 ,0.38 ,20.77 ,25.69 ,8.96 ,0.73 ,1.16 ,1276.00 ,3.00 ,3.00 ,0.00 ,0.00 
5,000012.SZ,南玻A,材料,846238811.00 ,239933028.00 ,3.23 ,639832667.00 ,162.00 ,81013548.00 ,49.14 ,2.47 ,0.43 ,5.48 ,-31.92 ,8.61 ,0.76 ,1.54 ,1408.00 ,0.00 ,0.00 ,0.00 ,0.00 
6,000023.SZ,深天地A,材料,3233745.37 ,,,74568620.34 ,,7778936.32 ,76.47 ,18.12 ,1.16 ,32.34 ,1438.32 ,5.79 ,0.86 ,,143.00 ,,,,
7,000023.SZ,深天地A,材料,4129040.97 ,,,35136374.43 ,,4149611.28 ,78.15 ,18.90 ,1.15 ,31.09 ,22.47 ,2.18 ,0.41 ,,155.00 ,,,,
8,000023.SZ,深天地A,材料,5015267.93 ,,,28688798.51 ,,19517900.85 ,75.47 ,28.91 ,1.19 ,21.71 ,81.25 ,2.33 ,0.48 ,,158.00 ,,,,
9,000023.SZ,深天地A,材料,7521096.04 ,,,15828541.43 ,,1716114.80 ,69.91 ,-3.31 ,1.38 ,-2.68 ,-40.57 ,1.57 ,0.39 ,,159.00 ,,,,
10,000023.SZ,深天地A,材料,8610485.72 ,,,26633940.54 ,,517636.05 ,71.48 ,6.23 ,1.26 ,-4.99 ,76.78 ,2.57 ,0.32 ,,165.00 ,,,,
11,000060.SZ,中金岭南,材料,3221381744.10 ,296244452.16 ,1.30 ,871387969.34 ,833.00 ,68842788.30 ,44.96 ,3.37 ,1.12 ,-18.55 ,-22.31 ,5.17 ,3.28 ,8.67 ,1513.00 ,29.00 ,11.00 ,18.00 ,0.00 
12,000060.SZ,中金岭南,材料,3014998947.60 ,189332238.95 ,0.95 ,909577971.95 ,797.00 ,29125201.79 ,45.06 ,3.38 ,1.12 ,5.26 ,-16.82 ,4.56 ,6.34 ,8.09 ,1446.00 ,8.00 ,2.00 ,6.00 ,0.00 
13,000060.SZ,中金岭南,材料,3151850364.26 ,230079145.71 ,1.21 ,1093552475.93 ,817.00 ,61105361.84 ,44.85 ,11.20 ,1.28 ,25.95 ,219.84 ,5.77 ,9.08 ,8.44 ,2114.00 ,20.00 ,10.00 ,10.00 ,0.00 
14,000060.SZ,中金岭南,材料,3338705091.90 ,196115644.00 ,1.30 ,341910508.76 ,808.00 ,69028496.84 ,51.58 ,6.84 ,0.96 ,-11.09 ,31.14 ,2.27 ,0.25 ,7.98 ,1826.00 ,11.00 ,3.00 ,8.00 ,0.00 
15,000060.SZ,中金岭南,材料,3366851631.30 ,192228100.00 ,1.13 ,260720534.38 ,802.00 ,80867773.13 ,50.32 ,11.73 ,0.92 ,-31.07 ,-52.66 ,1.54 ,0.46 ,7.66 ,920.00 ,4.00 ,4.00 ,0.00 ,0.00 
16,000301.SZ,东方盛虹,材料,1431221750.72 ,749163813.74 ,3.01 ,1612160788.59 ,1540.00 ,68882717.66 ,57.02 ,610.42 ,0.74 ,2456.58 ,1039.91 ,6.47 ,2.71 ,9.67 ,2866.00 ,0.00 ,0.00 ,0.00 ,0.00 
17,000301.SZ,东方盛虹,材料,782844884.81 ,703714995.45 ,3.82 ,846604376.37 ,1580.00 ,62008973.31 ,40.75 ,62.02 ,1.04 ,1558.26 ,271.30 ,4.59 ,0.45 ,11.94 ,120.00 ,0.00 ,0.00 ,0.00 ,0.00 
18,000301.SZ,东方盛虹,材料,183457844.02 ,,,228012022.03 ,,6023280.00 ,18.70 ,-11.12 ,5.34 ,40.21 ,54.90 ,20.50 ,0.29 ,,129.00 ,0.00 ,0.00 ,0.00 ,0.00 
19,000301.SZ,东方盛虹,材料,365660144.08 ,,,147203132.46 ,,2086085.31 ,30.22 ,12.71 ,1.43 ,14.27 ,-11.92 ,18.56 ,0.55 ,,111.00 ,0.00 ,0.00 ,0.00 ,0.00 
20,000301.SZ,东方盛虹,材料,544554662.99 ,,,167130971.30 ,,1020000.00 ,26.45 ,10.29 ,2.58 ,-11.64 ,-25.63 ,24.08 ,0.15 ,,82.00 ,0.00 ,0.00 ,0.00 ,0.00 
21,000401.SZ,冀东水泥,材料,5208177789.43 ,71879141.55 ,0.21 ,4904624637.78 ,748.00 ,103135769.71 ,55.04 ,50.66 ,0.73 ,105.51 ,357.64 ,15.81 ,1.58 ,3.10 ,5952.00 ,4.00 ,2.00 ,2.00 ,0.00 
22,000401.SZ,冀东水泥,材料,4020395454.07 ,44950850.48 ,0.15 ,2559622052.76 ,271.00 ,74318610.68 ,61.56 ,7.56 ,0.80 ,101.76 ,1851.92 ,8.30 ,0.87 ,1.35 ,4097.00 ,0.00 ,0.00 ,0.00 ,0.00 
23,000401.SZ,冀东水泥,材料,2817656241.81 ,6946388.12 ,0.05 ,131133753.85 ,63.00 ,57671458.24 ,72.53 ,-1.07 ,0.51 ,23.95 ,654.40 ,0.86 ,0.83 ,0.40 ,6279.00 ,0.00 ,0.00 ,0.00 ,0.00 
24,000401.SZ,冀东水泥,材料,2883913589.54 ,6487398.83 ,0.05 ,-23653370.97 ,58.00 ,144095496.30 ,73.08 ,-0.06 ,0.52 ,11.05 ,98.90 ,-0.19 ,1.00 ,0.36 ,7591.00 ,0.00 ,0.00 ,0.00 ,0.00 
25,000401.SZ,冀东水泥,材料,2878713485.90 ,6100557.02 ,0.05 ,-2150344091.46 ,68.00 ,103421498.09 ,72.55 ,-6.29 ,0.43 ,-29.09 ,-674.95 ,-19.36 ,0.97 ,0.41 ,7175.00 ,0.00 ,0.00 ,0.00 ,0.00 
26,000408.SZ,*ST藏格,材料,309235736.77 ,1676915.91 ,0.08 ,359516121.30 ,28.00 ,4521092.49 ,20.50 ,19.26 ,2.39 ,-29.12 ,-45.16 ,29.38 ,0.53 ,1.65 ,125.00 ,0.00 ,0.00 ,0.00 ,0.00 
27,000408.SZ,*ST藏格,材料,325788968.09 ,107256.24 ,0.00 ,850169479.51 ,11.00 ,2144559.57 ,20.78 ,21.19 ,2.23 ,-15.52 ,-30.14 ,31.72 ,1.34 ,0.68 ,144.00 ,0.00 ,0.00 ,0.00 ,0.00 
28,000408.SZ,*ST藏格,材料,355075505.11 ,,,1216946130.06 ,,9407662.00 ,15.62 ,5.22 ,3.13 ,21.91 ,32.39 ,38.35 ,1.07 ,,29.00 ,0.00 ,0.00 ,0.00 ,0.00 
29,000408.SZ,*ST藏格,材料,335139406.35 ,,,919244271.70 ,,2758320.76 ,18.65 ,39.31 ,3.00 ,2070.81 ,1617.33 ,35.32 ,1.08 ,,7.00 ,0.00 ,0.00 ,0.00 ,0.00 
30,000408.SZ,*ST藏格,材料,6607700.00 ,,,-60583180.79 ,,,83.40 ,1.63 ,1.07 ,111.67 ,-9.31 ,-50.53 ,0.95 ,,12.00 ,0.00 ,0.00 ,0.00 ,0.00 
31,000420.SZ,吉林化纤,材料,244450712.51 ,5579333.64 ,,99948276.07 ,,2438721.55 ,61.13 ,10.16 ,0.50 ,1.81 ,-4.14 ,5.89 ,1.36 ,,138.00 ,4.00 ,2.00 ,2.00 ,0.00 
32,000420.SZ,吉林化纤,材料,255870802.70 ,5890101.67 ,,140780346.44 ,,2196384.30 ,59.12 ,15.54 ,0.43 ,16.59 ,64.81 ,5.49 ,1.84 ,,127.00 ,2.00 ,1.00 ,1.00 ,0.00 
33,000420.SZ,吉林化纤,材料,228721044.25 ,6191832.86 ,,85421383.33 ,,3983291.55 ,55.02 ,33.75 ,0.44 ,57.60 ,269.08 ,3.89 ,1.25 ,,102.00 ,0.00 ,0.00 ,0.00 ,0.00 
34,000420.SZ,吉林化纤,材料,115160086.97 ,6560251.67 ,,23144341.82 ,,4315886.85 ,41.72 ,74.36 ,1.04 ,34.58 ,824.15 ,1.66 ,0.83 ,,143.00 ,9.00 ,3.00 ,6.00 ,0.00 
35,000420.SZ,吉林化纤,材料,117953641.85 ,3163549.60 ,,2504389.36 ,,9808474.69 ,63.27 ,-20.47 ,0.65 ,-0.08 ,242.59 ,0.24 ,0.67 ,,94.00 ,2.00 ,1.00 ,0.00 ,1.00 
36,000422.SZ,ST宜化,材料,392985737.57 ,484127059.06 ,3.30 ,106154213.83 ,441.00 ,292291555.33 ,91.91 ,-4.18 ,0.34 ,15.77 ,-70.84 ,1.04 ,2.46 ,5.25 ,682.00 ,2.00 ,2.00 ,0.00 ,0.00 
37,000422.SZ,ST宜化,材料,588967968.31 ,131004070.31 ,1.02 ,313956297.26 ,436.00 ,59799910.27 ,91.86 ,-26.49 ,0.31 ,7.17 ,106.10 ,2.45 ,0.05 ,5.16 ,1226.00 ,1.00 ,1.00 ,0.00 ,0.00 
38,000422.SZ,ST宜化,材料,644204024.62 ,69402959.63 ,0.58 ,-5147244769.17 ,762.00 ,156746657.96 ,95.18 ,-18.16 ,0.32 ,-21.25 ,-265.65 ,-43.05 ,0.01 ,7.72 ,781.00 ,1.00 ,1.00 ,0.00 ,0.00 
39,000422.SZ,ST宜化,材料,684894542.68 ,85720273.08 ,0.56 ,-1407681287.52 ,781.00 ,122400443.26 ,82.89 ,-0.52 ,0.55 ,-17.21 ,-2692.02 ,-9.27 ,0.04 ,9.30 ,788.00 ,7.00 ,0.00 ,7.00 ,0.00 
40,000422.SZ,ST宜化,材料,671647340.89 ,81638355.32 ,0.45 ,54308267.43 ,788.00 ,98655205.38 ,79.82 ,6.97 ,0.59 ,0.86 ,-31.25 ,0.30 ,0.16 ,8.09 ,801.00 ,1.00 ,1.00 ,0.00 ,0.00 
41,000426.SZ,兴业矿业,材料,3364499086.20 ,,,102201817.21 ,,345005.43 ,42.64 ,-3.95 ,0.21 ,-70.15 ,-121.23 ,-23.11 ,1.08 ,,93.00 ,,,,
42,000426.SZ,兴业矿业,材料,3507744997.83 ,3066439.95 ,0.13 ,-170640494.01 ,21.00 ,1154077.09 ,42.78 ,-4.26 ,0.36 ,15.51 ,-130.83 ,-7.00 ,0.75 ,5.56 ,76.00 ,,,,
43,000426.SZ,兴业矿业,材料,3640816314.07 ,,,553557652.20 ,,387900.00 ,42.39 ,-4.42 ,0.50 ,143.90 ,520.56 ,26.22 ,0.94 ,,85.00 ,,,,
44,000426.SZ,兴业矿业,材料,3640807312.03 ,,,89202309.42 ,,493200.00 ,50.15 ,49.22 ,0.80 ,4.34 ,458.97 ,10.30 ,0.86 ,,70.00 ,,,,
45,000426.SZ,兴业矿业,材料,1540297329.20 ,,,-24849511.39 ,,500000.00 ,33.72 ,0.87 ,0.66 ,-28.44 ,-115.66 ,-3.00 ,0.77 ,,71.00 ,,,,
46,000488.SZ,晨鸣纸业,材料,1781061904.51 ,992312956.74 ,3.26 ,1753298192.81 ,1925.00 ,623277014.49 ,76.25 ,-0.48 ,0.78 ,-14.16 ,-69.91 ,4.02 ,0.65 ,14.07 ,596.00 ,19.00 ,2.00 ,0.00 ,17.00 
47,000488.SZ,晨鸣纸业,材料,1939355274.98 ,929873688.40 ,3.22 ,2564738621.27 ,1863.00 ,535691291.26 ,75.43 ,-0.29 ,0.78 ,-2.02 ,-31.77 ,8.88 ,0.52 ,12.26 ,2214.00 ,12.00 ,2.00 ,10.00 ,0.00 
48,000488.SZ,晨鸣纸业,材料,2059221379.09 ,1017306281.19 ,3.41 ,3758962846.67 ,1434.00 ,392774230.02 ,71.34 ,28.36 ,0.86 ,30.60 ,85.85 ,12.75 ,0.12 ,10.56 ,2054.00 ,0.00 ,0.00 ,0.00 ,0.00 
49,000488.SZ,晨鸣纸业,材料,1540959330.74 ,735689011.01 ,3.21 ,2022605809.35 ,1161.00 ,472476962.83 ,72.58 ,5.55 ,0.77 ,11.76 ,-3.91 ,8.96 ,0.12 ,8.94 ,1826.00 ,9.00 ,0.00 ,9.00 ,0.00 
