id,证券代码,证券简称,所属行业名称,无形资产,研发支出合计,研发支出总额占营业收入比例,净利润,研发人员数量,政府补助,资产负债率,总资产,流动比率,营业收入,净利润.1,销售净利率,流动资产周转率,研发人员数量占比,技术人员人数,新增专利数,新增发明专利数,新增新型专利,新增外观专利,classify
1,000012.SZ,南玻A,材料,0.008271369738945045,0.029406893217474167,0.04744985843406621,0.5012390849948172,0.006725692778940057,0.057909792451708804,0.07650998858507276,0.017826541822105246,0.01758246943786135,0.005074690673977477,0.023429402894429536,0.8403956230098043,0.2005406618744169,0.0009528171490871537,0.030877569286772603,0.6135316529179271,0.21967803663941196,0.6065186440876036,0.0,2
2,000012.SZ,南玻A,材料,0.008199572483639065,0.025494684589350065,0.040670629575544494,0.5004479081830248,0.005339257702996705,0.031491609165617156,0.08164214243902775,0.019601369144337973,0.017346291154467786,0.005540322623385745,0.023412077863618288,0.8400078132093343,0.08207113293903334,0.0007309102786863913,0.032263576734030935,0.07724299893246035,0.10080064078749214,0.0,0.0,2
3,000012.SZ,南玻A,材料,0.008290284541675245,0.024602415136920724,0.03821782443297667,0.503642094365065,0.004901159147344712,0.029411990285922562,0.08882848415665166,0.023175567383478052,0.014035729044101861,0.006890773862113132,0.023427810817849597,0.8403631227224332,0.07731446842268161,0.0006009977345356465,0.03055753223031514,0.09085343045111348,0.11839470080223027,0.0,0.0,2
4,000012.SZ,南玻A,材料,0.008173739120399717,0.02283367737392355,0.04300805984874081,0.5034235697456501,0.004901159147344712,0.030533431524490083,0.08488841354098282,0.02245832622037719,0.007391726981787038,0.0068645856482023775,0.023435549113498093,0.8405132903399954,0.0715856917056141,0.0006280638126316408,0.027481558872884754,0.021479727410451392,0.028196891830651914,0.0,0.0,2
5,000012.SZ,南玻A,材料,0.006702871569352973,0.016077766396165833,0.036543063140283744,0.5019509812688223,0.005923182242455773,0.027358789724899784,0.07936700208249961,0.020629191210733522,0.008580402208370114,0.005993841571987327,0.023415866770994564,0.8404740689629264,0.07445292360177884,0.0008337494135718373,0.030301451459127493,0.0,0.0,0.0,0.0,2
11,000060.SZ,中金岭南,材料,0.0253515510445597,0.019825341149488918,0.014819216528028551,0.504024748645237,0.030201134751258366,0.02370986574536773,0.07264885653615372,0.020829331099179473,0.024884884615157848,0.004624303845328672,0.02341915002713911,0.8400885221045047,0.29698173775713155,0.004687633677560592,0.032540618509416815,0.19534759832221926,0.10080064078749214,0.15850382236248717,0.0,3
12,000060.SZ,中金岭南,材料,0.023740644343590005,0.012701915255740381,0.010844378225804283,0.504366485220382,0.028908911797826366,0.011737496950350885,0.07280994352168157,0.020831554719762932,0.024884884615157848,0.0059813090441786345,0.023421025682082444,0.8400201440271995,0.5278829082969594,0.0043745183545152964,0.03111221801532013,0.056583528366367514,0.01885902725131577,0.05479247284037956,0.0,3
13,000060.SZ,中金岭南,材料,0.024809029542889965,0.015420979916098743,0.01379816074145328,0.5060116156651349,0.029626956328321387,0.021385294660105362,0.07247164007520472,0.022569377593579527,0.02863946068582655,0.007159460248803285,0.023501878099568038,0.8401557760682765,0.7073062173000852,0.004563475387231907,0.045290735972934926,0.13750352374993502,0.09192248944103935,0.09019780897157816,0.0,3
14,000060.SZ,中金岭南,材料,0.026266509082848784,0.013154931501881191,0.014819216528028551,0.49927845195557324,0.029303880514433108,0.023765612545792646,0.08327418677795528,0.021600721773147844,0.02112051185740406,0.0050496095350754475,0.02343741108131095,0.8397634170750791,0.02491763220432954,0.004315126746800537,0.03919492179863061,0.07724299893246035,0.028196891830651914,0.07260374895683987,0.0,3
15,000060.SZ,中金岭南,材料,0.026485926451513122,0.012895326991307908,0.012889948535892237,0.49854927297373103,0.029088456437447847,0.027315139422323005,0.08125786354502783,0.022687082717025037,0.020177881937630274,0.003910238126503791,0.023408780925298037,0.8396815687486322,0.0455209037257977,0.004142337257375123,0.019848801177616913,0.02856915219677092,0.03747470541866296,0.0,0.0,3
16,000301.SZ,东方盛虹,材料,0.011318348461459642,0.04961864592849896,0.0340832244524796,0.5106390247894379,0.055347170387708186,0.023721852096789276,0.09194737872382056,0.14986760176848635,0.01592840893627232,0.1392724022193649,0.023782011401275685,0.8402342350637075,0.24956690975523993,0.005227328144322424,0.06108720820766574,0.0,0.0,0.0,0.0,3
17,000301.SZ,东方盛虹,材料,0.006201809729173761,0.04665661546842479,0.04311927164612785,0.503802933668454,0.056756843940409224,0.02165696177544795,0.06585072418266145,0.03381228282547029,0.02300392601639384,0.09184344833381192,0.02351945827141489,0.8400235069592353,0.04454643895326193,0.006451685785112521,0.0025477584038621553,0.0,0.0,0.0,0.0,3
21,000401.SZ,冀东水泥,材料,0.04076803236572049,0.004835403820450871,0.002404206076269046,0.5396755980406712,0.027148190847925545,0.03396772718648573,0.08879662392430897,0.031306703444924235,0.015691959695246838,0.011680905484814624,0.0235489539432566,0.8412806941491991,0.15069552996225957,0.0016778357677934193,0.12415896426536374,0.02856915219677092,0.01885902725131577,0.018496343617389496,0.0,2
22,000401.SZ,冀东水泥,材料,0.031571290364395155,0.003025800405990233,0.0017176987871365414,0.5190548412917368,0.009894891204137104,0.025352718031033398,0.0991459643338423,0.02176072812424608,0.017346291154467786,0.011468108519879405,0.02405933784777197,0.8404393291384763,0.08491762194049528,0.0007309102786863913,0.08657795129545089,0.0,0.0,0.0,0.0,2
23,000401.SZ,冀东水泥,材料,0.022198615349039743,0.00046800066901233353,0.0005727935283441506,0.4973846711306012,0.002306350328809379,0.02035243865949956,0.11639307575183355,0.019841704826525607,0.010480247804257426,0.007045616194337867,0.02365032918731955,0.839605322294399,0.08112105385241605,0.00021660461580952912,0.1306834410747926,0.0,0.0,0.0,0.0,2
24,000401.SZ,冀东水泥,材料,0.02271653175820381,0.0004370817575925226,0.0005727935283441506,0.49599235948784226,0.002123441290099912,0.04612495224686113,0.11725238546863685,0.02006642697310456,0.010717552688564084,0.006311106123973436,0.023460560777704715,0.8394875808832963,0.09718791869449171,0.00019494561760469446,0.15656844327978034,0.0,0.0,0.0,0.0,2
25,000401.SZ,冀东水泥,材料,0.022675890626919347,0.00041102240477067914,0.0005727935283441506,0.4767254405056141,0.002489236180722978,0.03405288982294647,0.11642433234713302,0.01867971128532888,0.008580402208370114,0.004023188982429089,0.023196158616467417,0.8373362682043252,0.09436556036190685,0.00022201931455403503,0.14841117663763198,0.0,0.0,0.0,0.0,2
26,000408.SZ,*ST藏格,材料,0.0024529143219914036,0.00011299315873731617,0.0009163605172801797,0.4994365219134029,0.0010254998056856992,0.004270748440255529,0.03269665817590789,0.02435834719612123,0.05442122214588061,0.004021477671800809,0.023411343313246055,0.8427997336517394,0.052323789544981375,0.0008932845096839885,0.002656536785456435,0.0,0.0,0.0,0.0,2
27,000408.SZ,*ST藏格,材料,0.0025841073228466183,7.227354412150207e-06,0.0,0.5038348437034734,0.00040296186257736584,0.003547477673988935,0.03316031830575409,0.02478639429747194,0.050733231536443255,0.0047970637704019495,0.02341647490849264,0.8430615140095219,0.12879461540504739,0.00036820849933935434,0.0030698198510096236,0.0,0.0,0.0,0.0,2
36,000422.SZ,ST宜化,材料,0.003116554325442535,0.03225913350667928,0.03732486035594902,0.4971600708384852,0.016067557025869865,0.08927434464762414,0.14636749246801992,0.01914951869340951,0.006440081141945168,0.0065799004791588424,0.023402569678025915,0.839625505571503,0.22826898767311732,0.002840351159679417,0.014723386488184154,0.014355292977070054,0.01885902725131577,0.0,0.0,2
37,000422.SZ,ST宜化,材料,0.004668337226919039,0.008800702696120192,0.011640222470440933,0.4990274327111084,0.015886384487186826,0.02099272559114228,0.1462909548918918,0.014174268801268928,0.00572593458455818,0.006090110541803103,0.02346302058193539,0.8397835981405763,0.005018074766624521,0.0027917065056747726,0.026411976782370342,0.007195501404203765,0.009460329249066228,0.0,0.0,2
38,000422.SZ,ST宜化,材料,0.005105393741837676,0.004669097080728233,0.006630464315138091,0.4491304459442226,0.02765147328531402,0.04985931973730648,0.15136425405365805,0.01603391129243672,0.005964022717929554,0.004470341925012613,0.02333601062421847,0.8346732686766826,0.0010050122600010606,0.00417473686303936,0.016857598974191406,0.007195501404203765,0.009460329249066228,0.0,0.0,2
